,name,link,min_salary,max_salary,currency,employer,site_name
109,Quality Assurance Engineer,https://hh.ru/vacancy/51808939?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,400000,,KZT,ТОО Frontier KZ,hh.ru
110,Технический писатель,https://hh.ru/vacancy/51809679?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,300000,,KZT,ТОО Frontier KZ,hh.ru
111,Senior Data Engineer,https://hh.ru/vacancy/49873436?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Playrix,hh.ru
112,Data engineer (Разработчик баз данных/ETL) Hadoop,https://hh.ru/vacancy/49854851?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Сбер. IT,hh.ru
113,Data Scientist,https://hh.ru/vacancy/51419263?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,4000,5500,EUR,Exness,hh.ru
114,Project manager Big Data,https://hh.ru/vacancy/51459518?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"Beeline, ТМ",hh.ru
115,"Project Manager (Process Optimization, remote)",https://hh.ru/vacancy/50771478?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,120000,200000,руб.,Big Data Solutions,hh.ru
116,Data Engineer (Opportunity 1),https://hh.ru/vacancy/49747785?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Oxagile,hh.ru
117,"Analyst, Digital Group",https://hh.ru/vacancy/50484394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Alvarez & Marsal CIS LLP (Moscow Branch Office),hh.ru
118,Бизнес-аналитик SQL,https://hh.ru/vacancy/50066943?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
119,Data Quality Engineer / Data Analyst,https://hh.ru/vacancy/51508706?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Х5 Group,hh.ru
120,Data Engineer,https://hh.ru/vacancy/51256379?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Сбер для экспертов,hh.ru
121,Senior Data Scientist Стрим «Модели партнерств и платформы больших данных» (Big Data),https://hh.ru/vacancy/49766992?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Банк ВТБ (ПАО),hh.ru
122,Архитектор Data Science,https://hh.ru/vacancy/51281584?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,IBS,hh.ru
123,Data scientist по построению моделей оценки кредитного риска (Big Data),https://hh.ru/vacancy/43366306?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Банк ВТБ (ПАО),hh.ru
124,Venture Capital Analyst Associate,https://hh.ru/vacancy/51415248?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,GETVISION,hh.ru
125,"Senior Big Data Engineer, Investment Management Solutions",https://hh.ru/vacancy/50377379?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,DataArt,hh.ru
126,Operations & Monitoring Engineer (Cloud team),https://hh.ru/vacancy/38247846?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Big Data Solutions,hh.ru
127,Junior Accountant/Бухгалтер,https://hh.ru/vacancy/50768147?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Big Data Solutions,hh.ru
128,Senior/Middle DS на проекты по анализу текстов документов и новостей (Big Data),https://hh.ru/vacancy/44161140?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Банк ВТБ (ПАО),hh.ru
129,Junior Accountant/Бухгалтер,https://hh.ru/vacancy/50768148?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Big Data Solutions,hh.ru
130,Big Data Developer,https://hh.ru/vacancy/51170935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ООО ИТ1,hh.ru
131,Python Developer (AI Projects),https://hh.ru/vacancy/50357797?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Билайн,hh.ru
132,"Разработчик Big Data (PySpark/Airflow, стрим Витрины ПИК)",https://hh.ru/vacancy/51183892?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"Иннотех, Группа компаний",hh.ru
133,Senior Data Engineer,https://hh.ru/vacancy/51310760?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,ТОО АНТАЛ БИЗНЕС РЕШЕНИЯ (ТМ Antal Kazakhstan),hh.ru
134,Consultant/Marketing Analyst,https://hh.ru/vacancy/42657433?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,GfK Rus,hh.ru
135,Junior Accountant/Бухгалтер,https://hh.ru/vacancy/50756425?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Big Data Solutions,hh.ru
136,Руководитель проектов и продуктов Data Science,https://hh.ru/vacancy/50275809?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Сбер. IT,hh.ru
137,Big data analyst for National Key Accounts,https://hh.ru/vacancy/51208884?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Syngenta,hh.ru
138,Разработчик Big Data (Витрины РБ),https://hh.ru/vacancy/51183857?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"Иннотех, Группа компаний",hh.ru
139,Chief Data Officier,https://hh.ru/vacancy/51206700?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Открытие Инвестиции,hh.ru
140,Data scientist (Team Lead),https://hh.ru/vacancy/51270435?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,АО РТ Лабс,hh.ru
141,DWH\ETL Team lead (Начальник отдела),https://hh.ru/vacancy/51107859?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,HAYS,hh.ru
142,"Руководитель группы Data scientist, Ozon Express",https://hh.ru/vacancy/50286902?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Ozon Express,hh.ru
143,Golang-Developer Middle / Senior,https://hh.ru/vacancy/47975526?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Big Data Technologies,hh.ru
144,Middle Fullstack Developer (Dashboard team),https://hh.ru/vacancy/50771207?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Big Data Solutions,hh.ru
145,BI Analyst,https://hh.ru/vacancy/50490998?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,Quantori,hh.ru
146,Data аналитик,https://hh.ru/vacancy/51090487?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,XWAY,hh.ru
147,Data Analytics Consultant,https://hh.ru/vacancy/51212236?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,,,,"EPAM Systems, Inc.",hh.ru
148,Data Engineer (Senior),https://hh.ru/vacancy/47129280?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Big%20Data,200000,,руб.,DNS федеральный офис,hh.ru
